"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 03월 26일","33.06","32.98","33.86","32.92","17.25M","1.44%"
"2019년 03월 25일","32.59","32.83","33.30","32.28","15.27M","-1.30%"
"2019년 03월 22일","33.02","32.50","34.21","32.34","28.03M","1.26%"
"2019년 03월 21일","32.61","32.31","32.69","32.03","13.35M","0.12%"
"2019년 03월 20일","32.57","31.24","32.65","31.16","22.37M","4.16%"
"2019년 03월 19일","31.27","31.15","31.50","30.88","15.56M","0.61%"
"2019년 03월 18일","31.08","31.25","31.58","30.84","13.17M","-0.45%"
"2019년 03월 15일","31.22","31.04","31.41","30.71","17.52M","0.61%"
"2019년 03월 14일","31.03","31.28","31.55","30.94","12.09M","-0.86%"
"2019년 03월 13일","31.30","31.31","31.48","31.04","10.20M","0.45%"
"2019년 03월 12일","31.16","31.15","31.41","30.89","12.32M","0.94%"
"2019년 03월 11일","30.87","30.24","30.91","30.24","16.01M","2.76%"
"2019년 03월 08일","30.04","29.64","30.21","29.41","11.96M","-0.27%"
"2019년 03월 07일","30.12","30.76","30.84","30.01","15.78M","-2.21%"
"2019년 03월 06일","30.80","30.94","31.34","30.59","10.94M","-0.74%"
"2019년 03월 05일","31.03","30.50","31.23","30.39","13.07M","1.74%"
"2019년 03월 04일","30.50","30.78","31.26","30.07","15.92M","-0.39%"
"2019년 03월 01일","30.62","31.17","31.19","30.28","12.36M","-0.52%"
"2019년 02월 28일","30.78","30.25","30.79","30.01","15.24M","1.22%"
"2019년 02월 27일","30.41","30.95","31.00","29.90","24.64M","-1.93%"
"2019년 02월 26일","31.01","31.89","31.96","30.99","17.52M","-3.06%"
"2019년 02월 25일","31.99","31.99","32.71","31.88","15.06M","0.88%"
"2019년 02월 22일","31.71","30.81","31.73","30.81","15.41M","3.09%"
"2019년 02월 21일","30.76","31.36","31.48","30.60","13.94M","-1.94%"
"2019년 02월 20일","31.37","31.71","31.93","31.21","16.87M","-0.88%"
"2019년 02월 19일","31.65","31.23","32.11","31.15","14.39M","1.34%"
"2019년 02월 15일","31.23","31.20","31.80","30.97","17.59M","0.87%"
"2019년 02월 14일","30.96","30.86","31.28","30.60","15.32M","-0.51%"
"2019년 02월 13일","31.12","30.57","31.84","30.55","29.68M","2.40%"
"2019년 02월 12일","30.39","30.44","30.80","30.23","20.32M","0.53%"
"2019년 02월 11일","30.23","30.17","30.44","29.66","28.84M","0.73%"
"2019년 02월 08일","30.01","30.47","30.74","29.42","40.67M","-2.56%"
"2019년 02월 07일","30.80","31.17","31.73","30.31","69.76M","-9.84%"
"2019년 02월 06일","34.16","35.05","35.25","33.75","34.06M","-0.61%"
"2019년 02월 05일","34.37","34.29","34.57","33.92","17.61M","1.27%"
"2019년 02월 04일","33.94","33.34","34.18","33.24","14.24M","2.26%"
"2019년 02월 01일","33.19","33.56","34.09","32.96","18.82M","-1.10%"
"2019년 01월 31일","33.56","33.07","33.69","32.79","21.21M","4.03%"
"2019년 01월 30일","32.26","32.04","32.38","31.42","17.14M","1.96%"
"2019년 01월 29일","31.64","33.33","33.55","31.46","18.85M","-4.50%"
"2019년 01월 28일","33.13","32.65","33.20","32.12","21.75M","0.70%"
"2019년 01월 25일","32.90","31.99","33.62","31.98","22.52M","4.08%"
"2019년 01월 24일","31.61","30.94","31.73","30.91","12.47M","2.07%"
"2019년 01월 23일","30.97","32.26","32.45","30.72","21.08M","-3.97%"
"2019년 01월 22일","32.25","32.97","33.35","31.93","17.78M","-3.07%"
"2019년 01월 18일","33.27","33.05","33.89","32.77","16.78M","1.28%"
"2019년 01월 17일","32.85","32.47","33.09","32.39","12.06M","1.17%"
"2019년 01월 16일","32.47","33.10","33.30","32.44","10.13M","-1.67%"
"2019년 01월 15일","33.02","32.51","33.35","32.45","13.55M","2.01%"
"2019년 01월 14일","32.37","32.38","32.75","32.12","9.52M","-1.52%"
"2019년 01월 11일","32.87","32.85","33.20","32.43","17.73M","-0.66%"
"2019년 01월 10일","33.09","33.08","33.50","32.26","30.50M","2.60%"
"2019년 01월 09일","32.25","31.80","32.40","31.54","14.55M","1.42%"
"2019년 01월 08일","31.80","31.70","32.05","30.91","18.92M","1.47%"
"2019년 01월 07일","31.34","30.20","31.38","29.77","19.92M","4.64%"
"2019년 01월 04일","29.95","28.39","30.10","28.31","23.41M","7.00%"
"2019년 01월 03일","27.99","28.38","29.18","27.94","19.05M","-2.85%"
"2019년 01월 02일","28.81","28.26","28.99","27.87","15.05M","0.24%"
